symbol,sim_dir,day,png,png_path,total_pnl,realized_pnl,unrealized_pnl,traded_volume,final_position,mark_notional_usdt,cost_notional_usdt,pnls,sharpes,calmars,max_drawdown,annual_return,calmar,sharpe,daily_turnover,spnl,status
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-02,2025-01-02.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-02.png,956.5694459022518,429.40706518458614,527.1623807176657,2890011.94049999,-2.163000000000034,-209740.81065000332,-210267.97303072098,956.5694459022518,,,,349147.84775432193,,,2890011.94049999,0.00033099152031072906,written
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-03,2025-01-03.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-03.png,951.847772591142,926.2015494002702,25.64622319087175,1839033.123200009,-0.14600000000000002,-14329.279500000002,-14354.925723190874,,,,,,,,,,exists
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-04,2025-01-04.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-04.png,211.89381717514473,212.0435140005416,-0.1496968253968589,836480.3566999978,0.022000000000000006,2159.8093000000003,2159.958996825397,,,,,,,,,,exists
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-05,2025-01-05.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-05.png,797.3427754169035,804.1963540331864,-6.853578616282903,929457.4622000002,0.1350000000000019,13275.933750000186,13282.787328616469,,,,,,,,,,exists
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-06,2025-01-06.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-06.png,-2516.7735286733473,-685.576254938274,-1831.1972737350734,2479310.1891000057,-3.786999999999816,-386957.3641499812,-385126.1668762461,-2516.7735286733473,,,,-918622.3379657718,,,2479310.1891000057,-0.0010151103882596235,written
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-07,2025-01-07.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-07.png,-18575.540691411017,-10537.01530144516,-8038.525389965856,3718493.4571999875,10.23199999999888,991687.9979998915,999726.5233898574,-18575.540691411017,,,,-6780072.352365022,,,3718493.4571999875,-0.004995447996672914,written
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-11,2025-01-11.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-11.png,186.5905150160229,154.1743863235074,32.416128692515485,795302.1102000012,-0.24700000000000016,-23356.925150000014,-23389.34127869253,,,,,,,,,,exists
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-12,2025-01-12.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-12.png,511.6780208361593,316.47929347323185,195.19872736292746,1016182.2049999975,0.5010000000000003,47344.47495000003,47149.276222637105,,,,,,,,,,exists
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-18,2025-01-18.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-18.png,791.7308800024433,794.411880193736,-2.6810001912926964,1369374.3845999988,-0.06500000000000004,-6794.082750000005,-6791.401749808712,791.7308800024433,,,,288981.7712008918,,,1369374.3845999988,0.0005781697751223176,written
BTCUSDT,sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025,2025-01-22,2025-01-22.png,/home/kang/glftmm_tick/plot/BTCUSDT/sim__asi1x1__bp1x2__bu2x1__cc1x1x1__cdt0__dp1__isk0x1__lat2__mfm3em05__mhtm1__mp1000000__mon100__moq0__mqdb0p1__md0__oc1x1x1__po1__pp1__qp3__sm1__sl100000__stm0__tf0p00025/2025-01-22.png,-964.6878403223832,-287.2586210968743,-677.4292192255089,1634129.2255999944,1.6190000000000313,167833.55405000324,168510.98326922875,-964.6878403223832,,,,-352111.0617176699,,,1634129.2255999944,-0.0005903375481019159,written
